TIteration;TBlock;TMessGen;TMessSend;TDisplay;TOA;Essai;TxPower;SF;Bandwith;CodingRate;Taille
43679777;43679859;43683019;44508059;44592020;822;0;14;10;125;4_8;49
44658690;44658775;44661937;45553057;45637034;887;0;14;10;125;4_8;50
45703775;45703858;45707016;46598059;46681985;887;0;14;10;125;4_8;51
3355929;3356007;3356200;3356281;3440401;0;0;14;0;125;4_5;0
3507000;3507081;3507336;3924073;4007954;414;0;14;11;125;4_5;1
4074524;4074607;4077750;4495070;4578948;414;0;14;11;125;4_5;2
4645556;4645637;4648748;5068051;5151880;414;0;14;11;125;4_5;3
5218426;5218506;5221619;5641049;5722529;414;0;14;11;125;4_5;4
5786733;5786817;5789952;6289055;6372896;496;0;14;11;125;4_5;5
6439509;6439590;6442706;6942053;7025950;496;0;14;11;125;4_5;6
7096108;7096186;7099363;7597057;7680906;496;0;14;11;125;4_5;7
7747452;7747532;7750644;8250053;8333948;496;0;14;11;125;4_5;8
8400616;8400697;8403814;8903050;8986884;496;0;14;11;125;4_5;9
9053468;9053549;9056658;9638053;9722061;578;0;14;11;125;4_5;10
9788754;9788841;9791972;10373055;10456956;578;0;14;11;125;4_5;11
10523634;10523714;10526822;11108053;11192061;578;0;14;11;125;4_5;12
11258757;11258841;11261972;11843055;11926999;578;0;14;11;125;4_5;13
11993658;11993742;11996873;12660053;12744046;660;0;14;11;125;4_5;14
12814377;12814460;12817642;13479057;13562994;660;0;14;11;125;4_5;15
13629641;13629721;13632844;14296053;14380040;660;0;14;11;125;4_5;16
14446804;14446893;14450027;15113064;15197017;660;0;14;11;125;4_5;17
15263666;15263747;15266882;15930048;16014051;660;0;14;11;125;4_5;18
16080760;16080843;16083990;16829055;16912966;742;0;14;11;125;4_5;19
16979612;16979693;16982824;17728053;17812053;742;0;14;11;125;4_5;20
17878738;17878821;17881965;18627055;18711001;742;0;14;11;125;4_5;21
18777660;18777745;18780888;19526053;19610094;742;0;14;11;125;4_5;22
19680503;19680582;19683814;20509057;20593001;824;0;14;11;125;4_5;23
20659636;20659716;20662845;21490053;21574065;824;0;14;11;125;4_5;24
21640753;21640836;21643981;22471055;22555003;824;0;14;11;125;4_5;25
22621685;22621770;22624908;23452053;23536090;824;0;14;11;125;4_5;26
23602782;23602876;23606013;24433050;24517016;824;0;14;11;125;4_5;27
24583691;24583772;24586916;25496053;25580069;906;0;14;11;125;4_5;28
25646796;25646885;25650025;26559055;26643001;906;0;14;11;125;4_5;29
26713276;26713354;26716551;27624055;27708053;906;0;14;11;125;4_5;30
27774738;27774821;27777968;28687055;28770998;906;0;14;11;125;4_5;31
28837676;28837756;28840906;29832053;29916042;988;0;14;11;125;4_5;32
29982747;29982832;29985988;30977055;31061001;988;0;14;11;125;4_5;33
31127658;31127743;31130894;32122057;32206063;988;0;14;11;125;4_5;34
32272756;32272840;32275985;33267055;33350979;988;0;14;11;125;4_5;35
33417647;33417727;33420875;34412048;34496057;988;0;14;11;125;4_5;36
34562743;34562829;34565979;35639055;35723053;1070;0;14;11;125;4_5;37
35793316;35793394;35796600;36868055;36952069;1070;0;14;11;125;4_5;38
37018821;37018914;37022060;38095055;38179010;1070;0;14;11;125;4_5;39
38245706;38245786;38248935;39322053;39406085;1070;0;14;11;125;4_5;40
39472788;39472881;39476033;40631055;40715003;1151;0;14;11;125;4_5;41
40781639;40781719;40784871;41940053;42024081;1151;0;14;11;125;4_5;42
